2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
19-1021,Biochemists and biophysicists,0.027,34520,12.022720629318938
29-1011,Chiropractors,0.027,37630,12.050233445846107
31-2011,Occupational therapy assistants,0.028,47910,12.085262386580004
21-1021,"Child, family, and school social workers",0.028,382960,12.365259947495339
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",0.028,23220,12.382237029604317
17-2112,Industrial engineers,0.029,350230,12.63830436237896
53-1043,First-line supervisors of transportation and material-moving machine and vehicle operators,0.029,0,12.63830436237896
53-1044,First-line supervisors of transportation and material-moving machine and vehicle operators,0.029,0,12.63830436237896
53-1049,First-line supervisors of transportation and material-moving machine and vehicle operators,0.029,0,12.63830436237896
29-2056,Veterinary technologists and technicians,0.029,131320,12.734317731136539
11-3051,Industrial production managers,0.03,234380,12.905682438488054
17-3026,Industrial engineering technicians,0.03,73410,12.959355461641373
15-1244,Network and computer systems administrators,0.03,318570,13.192274886596456
15-1242,Database administrators,0.03,73180,13.245779747437755
15-1243,Database administrators,0.03,64770,13.29313571678308
11-3061,Purchasing managers,0.03,81240,13.352533569949893
,Postsecondary teachers,0.032,0,13.352533569949893
19-2041,"Environmental scientists and specialists, including health",0.033,84930,13.414629331513867
21-1011,Substance abuse and behavioural disorder counselors,0.033,0,13.414629331513867
23-1011,Lawyers,0.035,747750,13.961339630695091
27-1012,Craft artists,0.035,4370,13.964534714623438
15-2031,Operations research analysts,0.035,107760,14.043322413506445
11-3021,Computer and information systems managers,0.035,645970,14.515617233917139
27-1021,Commercial and industrial designers,0.037,30250,14.53773423364998
17-2031,Biomedical engineers,0.037,21860,14.553716964696589
13-1121,"Meeting, convention, and event planners",0.037,134670,14.652179654085737
29-1131,Veterinarians,0.038,80630,14.711131511555456
27-3043,Writers and authors,0.038,47800,14.74608002683578
11-2011,Advertising and promotions managers,0.039,21100,14.761507091112241
19-3094,Political scientists,0.039,5950,14.765857377010105
13-2071,Credit counselors,0.04,28110,14.786409736100689
19-3099,"Social scientists and related workers, all other",0.04,36970,14.813439999906414
19-2011,Astronomers,0.041,1560,14.814580579066192
53-5031,Ship engineers,0.041,8580,14.82085376444496
15-1252,"Software developers, applications",0.042,1654440,16.03048183181692
15-1253,"Software developers, applications",0.042,199800,16.17656370112673
27-1013,"Fine artists, including painters, sculptors, and illustrators",0.042,10000,16.183875105997092
29-2053,Psychiatric technicians,0.043,136300,16.28352955438011
17-1012,Landscape architects,0.045,19580,16.297845285116274
21-1091,Health educators,0.045,65150,16.345479087846677
15-2021,Mathematicians,0.047,2220,16.347102219727898
27-1023,Floral designers,0.047,40160,16.376464821687264
11-9013,"Farmers, ranchers, and other agricultural managers",0.047,5910,16.380785861965645
33-2022,Forest fire inspectors and prevention specialists,0.048,2780,16.382818432519606
29-2042,Emergency medical technicians and paramedics,0.049,177980,16.512946816402287
29-2043,Emergency medical technicians and paramedics,0.049,99530,16.58571722907699
27-3041,Editors,0.055,95480,16.655526522779194
29-1024,Prosthodontists,0.055,760,16.65608218954934
,"Healthcare practitioners and technical workers, all other",0.055,0,16.65608218954934
39-7012,Travel guides,0.057,0,16.65608218954934
29-2061,Licensed practical and licensed vocational nurses,0.058,632430,17.118477367765568
19-3041,Sociologists,0.059,2950,17.120634232202324
23-1022,"Arbitrators, mediators, and conciliators",0.06,7860,17.126380996430427
19-1011,Animal scientists,0.061,2470,17.128186913433403
39-9041,Residential advisors,0.064,82810,17.188732657164863
53-1041,Aircraft cargo handling supervisors,0.066,10160,17.19616104451315
29-1126,Respiratory therapists,0.066,136420,17.29590322975461
27-3023,Broadcast news analysts,0.067,41550,17.32628211699096
11-3031,Financial managers,0.069,818620,17.92480834248843
17-2161,Nuclear engineers,0.07,14740,17.935585353267342
11-9021,Construction managers,0.071,348330,18.190263519116616
27-2042,Musicians and singers,0.074,38350,18.21830275679445
41-1012,First-line supervisors of non-retail sales workers,0.075,219010,18.37842983486022
39-1014,First-line supervisors of personal service workers,0.076,92830,18.44630160627178
39-1022,First-line supervisors of personal service workers,0.076,107060,18.524577506813863
53-1044,First-line supervisors of personal service workers,0.076,0,18.524577506813863
19-1012,Food scientists and technologists,0.077,14370,18.535083995612574
13-1041,Compliance officers,0.08,397770,18.825909747140912
33-3031,Fish and game wardens,0.08,6420,18.830603669067685
27-1024,Graphic designers,0.082,214260,18.987257829820035
11-9051,Food service managers,0.083,244230,19.165824270968855
