occ2018,total_lf,native,foreign
4340,80457.8121,65669.4715,14788.3406
7950,78348.1207,69020.0713,9328.0494
6240,78201.0588,47142.0565,31059.0023
8650,77632.3963,47857.856799999994,29774.5395
5350,77486.2026,67491.4226,9994.779999999999
1920,76466.9754,69825.34479999999,6641.6306
1980,76458.61249999999,75554.6448,903.9677
1551,76006.0034,51946.042199999996,24059.9612
3100,75789.0038,60734.462,15054.541799999999
5420,75627.9756,65592.1679,10035.8077
4530,75304.1505,60909.3674,14394.7831
4540,75271.5973,75271.5973,0.0
6441,74976.0154,38166.9897,36809.0257
2011,74928.5325,70267.5267,4661.0058
5820,74539.4617,46501.4136,28038.0481
6530,74160.865,68373.8128,5787.0522
0335,74019.5924,61165.6416,12853.950799999999
3000,73861.3288,73861.3288,0.0
3250,73320.2433,52097.2464,21222.9969
1610,72507.20400000001,70999.888,1507.316
0726,71756.7352,71329.2083,427.5269
9760,71182.9417,60826.3931,10356.5486
4740,71152.8186,71152.8186,0.0
5320,70838.09580000001,49724.9198,21113.176
1031,70032.8432,60157.7731,9875.0701
0640,69616.43519999999,66323.9849,3292.4503
2180,68529.8262,68529.8262,0.0
3324,68434.811,59450.5791,8984.231899999999
1545,67365.9132,57251.1688,10114.7444
8350,67274.8218,38572.866500000004,28701.9553
3700,66317.1689,66317.1689,0.0
2751,65156.935900000004,49202.142100000005,15954.793800000001
1822,64801.11839999999,60814.483499999995,3986.6349
1745,64531.409700000004,64531.409700000004,0.0
0500,64327.3226,59609.7688,4717.5538
0137,64169.789000000004,64169.789000000004,0.0
9410,63928.73959999999,57305.444599999995,6623.295
3605,63761.341700000004,55441.9493,8319.3924
6250,63628.7819,32713.157600000002,30915.6243
5220,63365.4821,58224.5423,5140.9398
8000,63041.7646,45893.1796,17148.585
0360,63007.6264,57872.7558,5134.8706
3321,62932.9568,48344.8512,14588.105599999999
1900,62264.4561,34965.3286,27299.127500000002
8640,62121.3392,54440.309,7681.0302
2632,61734.9157,56659.4513,5075.4644
3040,61537.4234,49284.9366,12252.486799999999
1005,60939.999299999996,34212.8063,26727.193
0930,60435.8675,46494.8148,13941.0527
3610,60402.1538,60402.1538,0.0
1420,60235.6759,48017.9349,12217.741
2700,59055.6737,51022.1622,8033.5115000000005
4465,58714.239499999996,58714.239499999996,0.0
1032,58706.8242,49468.1834,9238.640800000001
9240,58010.4313,58010.4313,0.0
7350,57643.215299999996,44814.8546,12828.3607
6950,57488.5873,46877.4362,10611.1511
9350,56993.985400000005,36583.8657,20410.1197
7360,56558.4821,56558.4821,0.0
7320,56387.3213,27179.3577,29207.963600000003
3646,55823.902200000004,55823.902200000004,0.0
0040,54634.782400000004,43641.2626,10993.5198
5720,53431.570199999995,38789.018299999996,14642.5519
6700,52529.4229,47658.0634,4871.3595
3940,51937.230299999996,43149.4381,8787.7922
0810,51804.5043,50922.471,882.0333
7430,51604.7255,42964.15,8640.5755
4420,51399.7887,37363.551699999996,14036.237
8750,50915.6057,44724.4782,6191.1275
7130,50840.5883,50169.203,671.3853
1310,50641.080799999996,45458.2037,5182.8771
3430,50158.3217,49548.1753,610.1464
7540,50116.6283,33353.7298,16762.8985
8920,50047.5929,46949.9106,3097.6823
4930,49375.7061,49375.7061,0.0
5560,48252.5472,42275.6579,5976.8893
2003,47146.7399,44006.0173,3140.7226
8710,46842.184,43487.2336,3354.9504
2721,46581.534199999995,37772.3981,8809.1361
1750,46560.9325,45847.407,713.5255
3330,44894.5004,41008.2991,3886.2013
5850,44830.822700000004,33854.2689,10976.5538
6005,44453.7221,28323.2243,16130.497800000001
3648,44411.330500000004,37233.4729,7177.8576
8100,44112.937900000004,33952.260200000004,10160.6777
2636,43350.0821,38021.705799999996,5328.3763
3520,43340.499200000006,36886.231100000005,6454.2681
8500,42180.0892,23839.126200000002,18340.963
4640,41944.6583,41944.6583,0.0
0900,41672.0499,35011.4326,6660.6173
1022,41642.4145,22685.4972,18956.9173
9415,41586.6653,41586.6653,0.0
5020,41556.052599999995,32316.2745,9239.7781
6765,41276.6566,35111.7083,6164.9483
6130,41091.031800000004,38381.6903,2709.3415
5150,40077.5639,35158.7525,4918.8114
1541,40028.669,34398.676400000004,5629.9926
8830,39792.8111,35858.6924,3934.1187
7510,39300.8986,35500.7498,3800.1488
8600,39265.7065,34033.683899999996,5232.0226
3647,39258.5651,29919.0748,9339.4903
1340,39037.5997,33525.0832,5512.5165
9630,38758.2812,34348.71,4409.5712
3720,38748.033200000005,38748.033200000005,0.0
9210,38723.8685,38723.8685,0.0
7740,38650.903600000005,36385.1523,2265.7513
7240,38431.5916,36105.5751,2326.0165
9040,38103.9392,31959.3534,6144.5858
7120,38012.7501,27757.3605,10255.3896
8630,37359.0221,31338.4266,6020.5955
5920,37248.2917,29391.6976,7856.5941
1560,37140.3177,32257.3384,4882.9793
9265,37060.6028,30921.9504,6138.6524
1860,37002.8092,36390.9945,611.8147
5530,37000.9556,37000.9556,0.0
6710,36937.6356,24344.0624,12593.5732
2840,36758.2283,36758.2283,0.0
2015,35845.7445,35845.7445,0.0
9310,35814.7264,35814.7264,0.0
8555,35235.7775,28504.7938,6730.9837
6850,35181.8014,35181.8014,0.0
2633,34715.4935,29425.9986,5289.4949
6040,34299.611899999996,13781.1677,20518.444199999998
6825,33909.860499999995,19680.0452,14229.815299999998
4940,33890.0629,31623.7234,2266.3395
4900,33377.2103,33377.2103,0.0
3946,33279.5143,33279.5143,0.0
4255,32605.5803,32605.5803,0.0
1840,32212.001,32212.001,0.0
0830,32034.7067,26542.7153,5491.9914
3270,32003.0588,30296.2293,1706.8295
1306,31073.927200000002,31073.927200000002,0.0
6115,30437.815,24287.851599999998,6149.9634
7160,30165.4208,30165.4208,0.0
2862,30125.8871,30125.8871,0.0
3750,30079.5938,30079.5938,0.0
5900,30010.055,18279.8189,11730.2361
6600,29549.726899999998,20346.8782,9202.848699999999
8310,29108.987,13997.067200000001,15111.9198
1640,28816.8167,28816.8167,0.0
7300,28185.174699999996,28185.174699999996,0.0
9570,27776.8742,15861.7256,11915.1486
7730,27734.079400000002,27734.079400000002,0.0
8365,27345.6546,12878.0149,14467.6397
8130,26934.9881,26934.9881,0.0
2755,26499.2591,26499.2591,0.0
3210,25869.767,25869.767,0.0
2440,25717.5936,25717.5936,0.0
4330,25700.0236,19909.0607,5790.9629
2723,25506.0307,25506.0307,0.0
1200,25192.8616,18370.629,6822.232599999999
8530,25162.584,22148.7843,3013.7997
2013,24622.4905,24622.4905,0.0
4525,24597.987399999998,18201.8073,6396.1801
6120,24286.6028,24286.6028,0.0
9430,24251.5246,24251.5246,0.0
8040,24161.8838,24161.8838,0.0
3840,23841.3877,23841.3877,0.0
2740,23523.1051,20280.3664,3242.7387
8730,23504.2454,22573.3875,930.8579
7030,23433.083899999998,12695.6468,10737.4371
0425,22863.1405,22863.1405,0.0
6800,22561.4345,22561.4345,0.0
5230,22337.850400000003,22337.850400000003,0.0
6460,22298.850899999998,7564.8662,14733.984699999999
6400,21814.669400000002,3123.3093,18691.3601
8510,21723.008800000003,11353.4295,10369.579300000001
0135,21513.6819,21513.6819,0.0
2005,21102.328700000002,11557.333900000001,9544.9948
3256,20871.347400000002,20871.347400000002,0.0
6010,20725.0822,20725.0822,0.0
8450,20702.1146,14761.1729,5940.941699999999
7100,20013.7725,20013.7725,0.0
3261,19834.7451,14696.827000000001,5137.9181
6360,19377.4283,7484.0205000000005,11893.4078
2105,18812.9232,18073.9192,739.004
6540,18597.1531,18597.1531,0.0
8720,18555.1655,18555.1655,0.0
7560,18327.1007,16983.3733,1343.7274
9110,18301.7679,14052.5576,4249.2103
5910,18221.9113,12795.6631,5426.2482
1700,17883.7776,13017.6103,4866.1673
4461,17175.572399999997,17175.572399999997,0.0
7850,16818.6865,16818.6865,0.0
7925,16784.0219,16784.0219,0.0
8335,15628.877900000001,5787.5272,9841.3507
5500,15516.7479,15516.7479,0.0
1910,15171.649,15171.649,0.0
3801,15066.2388,15066.2388,0.0
7040,14832.6355,14832.6355,0.0
2631,14109.9399,1817.434,12292.5059
1440,13250.260900000001,13250.260900000001,0.0
6835,13083.196800000002,13083.196800000002,0.0
9300,13047.4309,13047.4309,0.0
1520,12780.527399999999,12780.527399999999,0.0
3140,12755.373,12755.373,0.0
6740,12678.7513,5466.4652,7212.286099999999
1800,12658.306700000001,7586.861,5071.4457
6720,12220.8165,2248.0569,9972.759600000001
3900,12148.635900000001,12148.635900000001,0.0
0510,12003.8925,12003.8925,0.0
1821,11583.4309,11153.8239,429.607
8930,10684.6397,10684.6397,0.0
3200,10534.5531,9486.2158,1048.3373
8465,10473.037199999999,6079.5383999999995,4393.4988
2865,10319.6257,10319.6257,0.0
1600,10200.8621,10200.8621,0.0
7830,9844.686099999999,9844.686099999999,0.0
9650,9496.476999999999,9496.476999999999,0.0
7610,9236.5581,5478.0075,3758.5506
1935,8589.2889,8589.2889,0.0
6210,8170.9929999999995,8170.9929999999995,0.0
2805,7789.8971,7789.8971,0.0
1710,7267.7031,7267.7031,0.0
5340,6451.3915,4623.1797,1828.2118
3120,5896.3688,5896.3688,0.0
8256,5800.3463,5800.3463,0.0
4160,5619.6945,0.0,5619.6945
5010,5303.6525,5303.6525,0.0
9840,4163.7742,0.0,4163.7742
8250,1747.4602,1747.4602,0.0
8025,1143.6786,1143.6786,0.0
8910,658.0215,658.0215,0.0
