2018_SOC_Code,2018_Census_Code
47-4031,6710
47-4041,6720
47-4051,6730
47-4061,6740
47-4071,6750
47-4090,6765
47-5010,6800
47-5022,6821
47-5023,6825
47-5032,6835
47-5040,6850
47-5071,6920
49-1011,7000
49-2011,7010
49-2020,7020
49-2091,7030
49-2092,7040
49-2093,7050
49-2096,7110
49-2097,7120
49-2098,7130
49-3011,7140
49-3021,7150
49-3022,7160
49-3023,7200
49-3031,7210
49-3040,7220
49-3050,7240
49-3090,7260
49-9010,7300
49-9021,7315
49-9031,7320
49-9071,7340
49-9043,7350
49-9044,7360
49-9051,7410
49-9052,7420
49-9060,7430
49-9081,7440
49-9091,7510
49-9092,7520
49-9094,7540
49-9095,7550
49-9096,7560
49-9098,7610
51-1011,7700
51-2011,7710
51-2020,7720
51-2031,7730
51-2041,7740
51-3011,7800
51-3020,7810
51-3091,7830
51-3092,7840
51-3093,7850
51-3099,7855
51-9160,7905
51-4020,7925
51-4031,7950
51-4033,8000
51-4041,8030
51-4050,8040
51-4060,8060
51-4070,8100
51-4111,8130
51-4120,8140
51-5111,8250
51-5112,8255
51-5113,8256
51-6011,8300
51-6021,8310
51-6031,8320
51-6040,8335
51-6050,8350
51-6060,8365
51-6093,8450
51-7011,8500
51-7021,8510
51-7041,8530
51-7042,8540
51-8010,8600
51-8021,8610
51-8031,8620
51-8090,8630
51-9010,8640
51-9020,8650
51-9030,8710
51-9041,8720
51-9051,8730
51-9061,8740
51-9071,8750
51-9080,8760
51-9111,8800
51-9120,8810
51-9151,8830
51-9191,8850
51-9194,8910
51-9195,8920
51-9196,8930
51-9197,8940
51-9198,8950
53-1000,9005
53-2010,9030
53-2020,9040
53-2031,9050
53-3011,9110
53-3051,9121
53-3052,9122
53-3030,9130
53-3053,9141
53-3054,9142
53-3099,9150
53-4010,9210
53-4031,9240
53-5011,9300
53-5020,9310
53-5031,9330
53-6021,9350
53-6030,9365
53-6051,9410
53-6061,9415
53-7021,9510
53-7051,9600
53-7061,9610
53-7062,9620
53-7063,9630
53-7064,9640
53-7065,9645
53-7070,9650
53-7081,9720
55-1010,9800
55-2010,9810
55-3010,9825
