state_fips,occ2018,nativity_flag,emp_status,population
1,4251,0,EMPLOYED,9801.1833
1,4251,1,EMPLOYED,5308.6847
1,4252,0,EMPLOYED,2909.0034
1,4435,0,EMPLOYED,3236.4175
1,4510,0,EMPLOYED,12572.7803
1,4510,1,EMPLOYED,2950.567
1,4521,0,EMPLOYED,2782.1419
1,4521,1,EMPLOYED,12368.2284
1,4522,0,EMPLOYED,4114.9206
1,4600,0,EMPLOYED,11800.3488
1,4600,0,UNEMPLOYED,2454.235
1,4622,0,EMPLOYED,2548.602
1,4655,0,EMPLOYED,1841.7005
1,4700,0,EMPLOYED,38051.296
1,4700,1,EMPLOYED,5599.3351999999995
1,4710,0,EMPLOYED,22746.534200000002
1,4710,1,EMPLOYED,5611.4799
1,4720,0,EMPLOYED,65349.1902
1,4720,0,UNEMPLOYED,6685.0195
1,4760,0,EMPLOYED,21291.816
1,4800,0,EMPLOYED,4435.4979
1,4810,0,EMPLOYED,10611.8608
1,4840,0,EMPLOYED,12845.844299999999
1,4850,0,EMPLOYED,16660.510000000002
1,4920,0,EMPLOYED,25467.3496
1,4940,0,EMPLOYED,3224.8975
1,4950,0,EMPLOYED,2226.7773
1,4950,1,EMPLOYED,2571.9678
1,4965,0,EMPLOYED,5204.8502
1,5000,0,EMPLOYED,23817.0831
1,5100,0,EMPLOYED,2759.3768
1,5110,0,EMPLOYED,13120.181499999999
1,5120,0,EMPLOYED,16524.5881
1,5150,0,EMPLOYED,8195.2207
1,5160,0,EMPLOYED,3327.0668
1,5165,0,EMPLOYED,2737.5843
1,5240,0,EMPLOYED,53830.3694
1,5240,1,EMPLOYED,2619.0758
1,5300,0,EMPLOYED,5054.508
1,5310,0,EMPLOYED,2273.9304
1,5360,0,EMPLOYED,2116.1999
1,5400,0,EMPLOYED,17262.3993
1,5410,0,EMPLOYED,2794.5115
1,5510,0,EMPLOYED,8621.7826
1,5540,0,EMPLOYED,2445.4071
1,5550,0,EMPLOYED,18246.0991
1,5610,0,EMPLOYED,11153.9028
1,5710,0,EMPLOYED,1907.1116
1,5730,0,EMPLOYED,1810.2122
1,5740,0,EMPLOYED,14986.0413
1,5740,0,UNEMPLOYED,2420.4206
1,5810,0,EMPLOYED,1903.0605
1,5840,0,EMPLOYED,15881.694800000001
1,5860,0,EMPLOYED,10113.890800000001
1,5860,1,EMPLOYED,2722.4307
1,5940,0,EMPLOYED,17881.1007
1,6005,0,EMPLOYED,2514.4948
1,6050,0,EMPLOYED,3954.6287
1,6130,0,EMPLOYED,8989.2274
1,6200,0,EMPLOYED,7364.1969
1,6210,0,EMPLOYED,4180.2014
1,6230,1,EMPLOYED,6562.7137
1,6260,0,EMPLOYED,23671.3322
1,6260,0,UNEMPLOYED,2208.5243
1,6260,1,EMPLOYED,15151.851799999999
1,6305,0,EMPLOYED,2514.5618
1,6355,0,EMPLOYED,7215.7029
1,6410,0,EMPLOYED,6949.0099
1,6410,1,EMPLOYED,6145.192300000001
1,6441,0,EMPLOYED,3658.7218
1,6442,0,EMPLOYED,8564.4462
1,6515,0,EMPLOYED,2135.831
1,6520,0,EMPLOYED,3412.258
1,6600,0,EMPLOYED,3204.8228
1,6825,0,EMPLOYED,2444.0787
1,7000,0,EMPLOYED,7943.674800000001
1,7010,0,EMPLOYED,2344.5578
1,7140,0,EMPLOYED,6310.079299999999
1,7150,0,EMPLOYED,2330.8029
1,7200,0,EMPLOYED,2853.4402
1,7210,0,EMPLOYED,8997.3575
1,7220,0,EMPLOYED,2152.8116
1,7240,0,EMPLOYED,2426.6222
1,7315,0,EMPLOYED,4768.6074
1,7330,0,EMPLOYED,14399.1195
1,7340,0,EMPLOYED,19580.9412
1,7340,0,UNEMPLOYED,4159.1578
1,7360,0,EMPLOYED,2347.4101
1,7420,0,EMPLOYED,4762.4403
1,7640,0,EMPLOYED,2020.5384
1,7700,0,EMPLOYED,8107.9646
1,7700,1,EMPLOYED,2091.6828
1,7720,0,EMPLOYED,5389.4872
1,7750,0,EMPLOYED,24818.0366
1,7750,0,UNEMPLOYED,3113.4557
1,7800,0,EMPLOYED,5099.0905
1,7810,0,EMPLOYED,5285.8429
1,7950,0,EMPLOYED,9493.1346
1,8030,0,EMPLOYED,3561.4054
1,8140,0,EMPLOYED,13557.2551
1,8225,0,EMPLOYED,6112.0796
1,8255,0,EMPLOYED,1978.7457
1,8300,0,EMPLOYED,2910.3058
1,8320,0,EMPLOYED,2141.7198
1,8620,0,EMPLOYED,3800.9239
1,8720,0,EMPLOYED,2273.9304
1,8730,0,EMPLOYED,2514.5618
1,8740,0,EMPLOYED,19426.939000000002
1,8740,1,EMPLOYED,2079.2634
1,8810,0,EMPLOYED,5797.1783
1,8990,0,EMPLOYED,31300.0563
1,9005,0,EMPLOYED,2483.763
1,9030,0,EMPLOYED,8176.8748
1,9121,0,EMPLOYED,3089.6094
1,9122,0,EMPLOYED,1880.3611
1,9130,0,EMPLOYED,70167.825
1,9130,0,UNEMPLOYED,3681.6904
1,9130,1,EMPLOYED,2635.7871
1,9142,0,EMPLOYED,5080.4331999999995
1,9150,0,EMPLOYED,1704.1353
1,9410,0,EMPLOYED,3102.7116
1,9510,0,EMPLOYED,4135.7876
1,9570,0,EMPLOYED,2708.7882
1,9600,0,EMPLOYED,11230.8492
1,9600,0,UNEMPLOYED,3881.4286
1,9610,0,EMPLOYED,4217.3276
1,9610,0,UNEMPLOYED,3269.2473
1,9620,0,EMPLOYED,26013.6644
1,9620,0,UNEMPLOYED,2525.3604
1,9630,0,EMPLOYED,5052.6628
1,9645,0,EMPLOYED,26105.5364
1,9760,0,EMPLOYED,2718.1605
2,-001,0,UNEMPLOYED,1982.5178
2,0010,0,EMPLOYED,1867.2122
2,0020,0,EMPLOYED,1608.0529999999999
2,0051,0,EMPLOYED,1024.2203
2,0052,0,EMPLOYED,1224.767
2,0060,0,EMPLOYED,788.0154
2,0101,0,EMPLOYED,1270.0812999999998
2,0102,0,EMPLOYED,3187.3282
2,0110,0,EMPLOYED,1866.1756999999998
2,0110,1,EMPLOYED,480.2127
2,0120,0,EMPLOYED,1578.0569
2,0120,0,UNEMPLOYED,583.042
2,0140,0,EMPLOYED,1513.4112
2,0160,0,EMPLOYED,2126.6632
2,0220,0,EMPLOYED,2680.2145
2,0230,0,EMPLOYED,3880.6335
2,0310,0,EMPLOYED,1152.3915000000002
2,0310,1,EMPLOYED,584.1402
2,0350,0,EMPLOYED,1472.3722
2,0410,0,EMPLOYED,4659.527700000001
2,0410,1,EMPLOYED,659.1964
2,0420,0,EMPLOYED,1808.2549
2,0440,0,EMPLOYED,14369.7596
2,0440,0,UNEMPLOYED,1449.1304
2,0440,1,EMPLOYED,591.1656
2,0520,0,EMPLOYED,492.6713
2,0565,0,EMPLOYED,875.9909
2,0630,0,EMPLOYED,2174.9382
2,0705,0,EMPLOYED,2174.1547
2,0710,0,EMPLOYED,1308.9148
2,0735,0,EMPLOYED,545.9168
2,0750,0,EMPLOYED,1217.9926
2,0800,0,EMPLOYED,1947.2991
2,0820,0,EMPLOYED,626.379
2,0850,0,EMPLOYED,669.7394
2,0910,0,EMPLOYED,1331.6921
2,0910,1,EMPLOYED,1109.6321
2,1006,0,EMPLOYED,1133.5038
2,1021,0,EMPLOYED,1402.4799
2,1021,1,EMPLOYED,766.2942
2,1050,0,EMPLOYED,567.7376
2,1105,0,EMPLOYED,694.9688
2,1108,0,EMPLOYED,1185.451
2,1240,0,EMPLOYED,1554.2871
2,1310,0,EMPLOYED,761.2215
2,1360,0,EMPLOYED,464.4491
2,1400,0,EMPLOYED,597.2926
2,1520,0,EMPLOYED,592.8592
2,1530,0,EMPLOYED,630.928
2,1610,0,EMPLOYED,1203.1368
2,1610,1,EMPLOYED,661.7666
2,1650,0,EMPLOYED,625.476
2,1750,0,EMPLOYED,682.8955
2,1760,0,EMPLOYED,2761.3052
2,1760,0,UNEMPLOYED,594.3798
2,1822,0,EMPLOYED,503.4389
2,1840,0,EMPLOYED,581.3682
2,1910,0,EMPLOYED,772.9536
2,1970,0,EMPLOYED,660.7813
2,2001,0,EMPLOYED,1489.8496
2,2006,0,EMPLOYED,649.9198
2,2011,0,EMPLOYED,464.8898
2,2012,0,EMPLOYED,692.1018
2,2012,1,EMPLOYED,622.6811
2,2014,0,EMPLOYED,685.5237
2,2015,0,EMPLOYED,704.8336
2,2016,0,EMPLOYED,2449.7048
2,2025,0,EMPLOYED,1169.9857
2,2040,0,EMPLOYED,1574.7259
2,2060,0,EMPLOYED,497.4521
2,2100,0,EMPLOYED,2937.0579
2,2100,1,EMPLOYED,699.6646
2,2145,0,EMPLOYED,1220.9867
2,2205,0,EMPLOYED,2531.777
2,2300,0,EMPLOYED,1617.2064
2,2310,0,EMPLOYED,6721.8436
2,2330,0,EMPLOYED,534.3657
2,2350,0,EMPLOYED,2257.05
2,2360,0,EMPLOYED,2173.577
2,2360,1,EMPLOYED,610.9417
2,2400,0,EMPLOYED,600.3659
2,2435,0,EMPLOYED,939.0537
2,2545,0,EMPLOYED,2987.7027
2,2555,0,EMPLOYED,1611.5365
2,2600,0,EMPLOYED,1136.002
2,2640,0,EMPLOYED,672.9391
2,2722,0,EMPLOYED,617.1703
2,2850,0,EMPLOYED,520.1154
2,2920,0,EMPLOYED,529.923
2,3010,0,EMPLOYED,649.8614
2,3010,1,EMPLOYED,692.1018
2,3040,0,EMPLOYED,1201.5433
2,3050,0,EMPLOYED,2204.6231
2,3090,0,EMPLOYED,2482.8248000000003
2,3090,1,EMPLOYED,837.7545
