state_fips,occ2018,nativity_flag,EMPLOYED,UNEMPLOYED
1,5400,0,0.0,0.0
1,5400,1,0.0,0.0
1,4720,0,0.0,0.0
1,4720,1,0.0,0.0
1,5840,0,0.0,0.0
1,5840,1,0.0,0.0
1,4920,0,0.0,0.0
1,4920,1,0.0,0.0
1,3870,0,0.0,0.0
1,3870,1,0.0,0.0
1,5160,0,0.0,0.0
1,5160,1,0.0,0.0
1,0440,0,0.0,0.0
1,0440,1,0.0,0.0
1,9620,0,0.0,0.0
1,9620,1,0.0,0.0
1,6260,0,0.0,0.0
1,6260,1,0.0,0.0
1,5120,0,0.0,0.0
1,5120,1,0.0,0.0
1,1430,0,0.0,0.0
1,1430,1,0.0,0.0
1,4700,0,0.0,0.0
1,4700,1,0.0,0.0
1,5240,0,0.0,0.0
1,5240,1,0.0,0.0
1,5000,0,0.0,0.0
1,5000,1,0.0,0.0
1,4710,0,0.0,0.0
1,4710,1,0.0,0.0
1,0010,0,0.0,0.0
1,0010,1,0.0,0.0
1,9130,0,0.0,0.0
1,9130,1,0.0,0.0
1,8225,0,0.0,0.0
1,8225,1,0.0,0.0
1,2633,0,0.0,0.0
1,2633,1,0.0,0.0
1,5410,0,0.0,0.0
1,5410,1,0.0,0.0
1,4840,0,0.0,0.0
1,4840,1,0.0,0.0
1,1006,0,0.0,0.0
1,1006,1,0.0,0.0
1,9645,0,0.0,0.0
1,9645,1,0.0,0.0
1,1010,0,0.0,0.0
1,1010,1,0.0,0.0
1,0800,0,0.0,0.0
1,0800,1,0.0,0.0
1,4040,0,0.0,0.0
1,4040,1,0.0,0.0
1,8140,0,0.0,0.0
1,8140,1,0.0,0.0
1,4000,0,0.0,0.0
1,4000,1,0.0,0.0
1,7750,0,0.0,0.0
1,7750,1,0.0,0.0
1,1108,0,0.0,0.0
1,1108,1,0.0,0.0
1,3160,0,0.0,0.0
1,3160,1,0.0,0.0
1,2016,0,0.0,0.0
1,2016,1,0.0,0.0
1,3255,0,0.0,0.0
1,3255,1,0.0,0.0
1,4760,0,0.0,0.0
1,4760,1,0.0,0.0
1,1745,0,0.0,0.0
1,1745,1,0.0,0.0
1,2040,0,0.0,0.0
1,2040,1,0.0,0.0
1,0120,0,0.0,0.0
1,0120,1,0.0,0.0
1,0710,0,0.0,0.0
1,0710,1,0.0,0.0
1,1410,0,0.0,0.0
1,1410,1,0.0,0.0
1,3640,0,0.0,0.0
1,3640,1,0.0,0.0
1,6355,0,0.0,0.0
1,6355,1,0.0,0.0
1,8990,0,0.0,0.0
1,8990,1,0.0,0.0
1,0220,0,0.0,0.0
1,0220,1,0.0,0.0
1,4510,0,0.0,0.0
1,4510,1,0.0,0.0
1,1021,0,0.0,0.0
1,1021,1,0.0,0.0
1,1007,0,0.0,0.0
1,1007,1,0.0,0.0
1,7010,0,0.0,0.0
1,7010,1,0.0,0.0
1,3603,0,0.0,0.0
1,3603,1,0.0,0.0
1,4521,0,0.0,0.0
1,4521,1,0.0,0.0
1,1530,0,0.0,0.0
1,1530,1,0.0,0.0
1,0110,0,0.0,0.0
1,0110,1,0.0,0.0
1,0060,0,0.0,0.0
1,0060,1,0.0,0.0
1,5510,0,0.0,0.0
1,5510,1,0.0,0.0
1,2310,0,0.0,0.0
1,2310,1,0.0,0.0
1,2180,0,0.0,0.0
1,2180,1,0.0,0.0
1,4850,0,0.0,0.0
1,4850,1,0.0,0.0
1,1105,0,0.0,0.0
1,1105,1,0.0,0.0
1,3090,0,0.0,0.0
1,3090,1,0.0,0.0
1,8740,0,0.0,0.0
1,8740,1,0.0,0.0
1,4230,0,0.0,0.0
1,4230,1,0.0,0.0
1,7800,0,0.0,0.0
1,7800,1,0.0,0.0
1,2170,0,0.0,0.0
1,2170,1,0.0,0.0
1,1305,0,0.0,0.0
1,1305,1,0.0,0.0
1,2205,0,0.0,0.0
1,2205,1,0.0,0.0
1,7200,0,0.0,0.0
1,7200,1,0.0,0.0
1,5740,0,0.0,0.0
1,5740,1,0.0,0.0
1,5860,0,0.0,0.0
1,5860,1,0.0,0.0
1,6520,0,0.0,0.0
1,6520,1,0.0,0.0
1,0640,0,0.0,0.0
1,0640,1,0.0,0.0
1,0845,0,0.0,0.0
1,0845,1,0.0,0.0
1,4220,0,0.0,0.0
1,4220,1,0.0,0.0
1,7150,0,0.0,0.0
1,7150,1,0.0,0.0
1,3601,0,0.0,0.0
1,3601,1,0.0,0.0
1,4251,0,0.0,0.0
1,4251,1,0.0,0.0
1,4110,0,0.0,0.0
1,4110,1,0.0,0.0
1,9210,0,0.0,0.0
1,9210,1,0.0,0.0
1,3300,0,0.0,0.0
1,3300,1,0.0,0.0
1,2636,0,0.0,0.0
1,2636,1,0.0,0.0
1,2634,0,0.0,0.0
1,2634,1,0.0,0.0
1,0540,0,0.0,0.0
1,0540,1,0.0,0.0
1,3930,0,0.0,0.0
1,3930,1,0.0,0.0
1,7855,0,0.0,0.0
1,7855,1,0.0,0.0
1,6200,0,0.0,0.0
1,6200,1,0.0,0.0
1,4020,0,0.0,0.0
1,4020,1,0.0,0.0
1,3050,0,0.0,0.0
1,3050,1,0.0,0.0
1,3960,0,0.0,0.0
1,3960,1,0.0,0.0
1,7340,0,0.0,0.0
1,7340,1,0.0,0.0
1,4622,0,0.0,0.0
1,4622,1,0.0,0.0
1,1970,0,0.0,0.0
1,1970,1,0.0,0.0
1,2722,0,0.0,0.0
1,2722,1,0.0,0.0
1,3602,0,0.0,0.0
1,3602,1,0.0,0.0
1,1240,0,0.0,0.0
1,1240,1,0.0,0.0
1,5610,0,0.0,0.0
1,5610,1,0.0,0.0
1,-001,0,0.0,0.0
1,-001,1,0.0,0.0
1,8760,0,0.0,0.0
1,8760,1,0.0,0.0
1,1050,0,0.0,0.0
1,1050,1,0.0,0.0
1,3230,0,0.0,0.0
1,3230,1,0.0,0.0
1,3500,0,0.0,0.0
1,3500,1,0.0,0.0
1,6660,0,0.0,0.0
1,6660,1,0.0,0.0
1,0830,0,0.0,0.0
1,0830,1,0.0,0.0
1,4210,0,0.0,0.0
1,4210,1,0.0,0.0
1,4800,0,0.0,0.0
1,4800,1,0.0,0.0
1,2910,0,0.0,0.0
1,2910,1,0.0,0.0
1,0700,0,0.0,0.0
1,0700,1,0.0,0.0
1,0350,0,0.0,0.0
1,0350,1,0.0,0.0
1,3645,0,0.0,0.0
1,3645,1,0.0,0.0
1,0750,0,0.0,0.0
1,0750,1,0.0,0.0
1,0420,0,0.0,0.0
1,0420,1,0.0,0.0
1,2360,0,0.0,0.0
1,2360,1,0.0,0.0
1,0650,0,0.0,0.0
1,0650,1,0.0,0.0
1,2100,0,0.0,0.0
1,2100,1,0.0,0.0
1,9110,0,0.0,0.0
1,9110,1,0.0,0.0
1,0705,0,0.0,0.0
1,0705,1,0.0,0.0
1,1800,0,0.0,0.0
1,1800,1,0.0,0.0
1,1220,0,0.0,0.0
1,1220,1,0.0,0.0
1,2810,0,0.0,0.0
1,2810,1,0.0,0.0
1,0020,0,0.0,0.0
1,0020,1,0.0,0.0
1,5260,0,0.0,0.0
1,5260,1,0.0,0.0
1,4600,0,0.0,0.0
1,4600,1,0.0,0.0
1,4130,0,0.0,0.0
1,4130,1,0.0,0.0
1,1840,0,0.0,0.0
1,1840,1,0.0,0.0
1,2300,0,0.0,0.0
1,2300,1,0.0,0.0
1,2545,0,0.0,0.0
1,2545,1,0.0,0.0
1,7330,0,0.0,0.0
1,7330,1,0.0,0.0
1,3030,0,0.0,0.0
1,3030,1,0.0,0.0
1,4750,0,0.0,0.0
1,4750,1,0.0,0.0
1,1340,0,0.0,0.0
1,1340,1,0.0,0.0
1,0850,0,0.0,0.0
1,0850,1,0.0,0.0
1,7700,0,0.0,0.0
1,7700,1,0.0,0.0
1,4350,0,0.0,0.0
1,4350,1,0.0,0.0
1,6220,0,0.0,0.0
1,6220,1,0.0,0.0
1,9640,0,0.0,0.0
1,9640,1,0.0,0.0
1,3421,0,0.0,0.0
1,3421,1,0.0,0.0
1,7000,0,0.0,0.0
1,7000,1,0.0,0.0
1,6050,0,0.0,0.0
1,6050,1,0.0,0.0
1,0230,0,0.0,0.0
1,0230,1,0.0,0.0
1,7950,0,0.0,0.0
1,7950,1,0.0,0.0
1,4200,0,0.0,0.0
1,4200,1,0.0,0.0
1,7640,0,0.0,0.0
1,7640,1,0.0,0.0
1,9610,0,0.0,0.0
1,9610,1,0.0,0.0
1,1420,0,0.0,0.0
1,1420,1,0.0,0.0
1,6515,0,0.0,0.0
1,6515,1,0.0,0.0
1,2640,0,0.0,0.0
1,2640,1,0.0,0.0
1,2700,0,0.0,0.0
1,2700,1,0.0,0.0
1,3010,0,0.0,0.0
1,3010,1,0.0,0.0
1,4240,0,0.0,0.0
1,4240,1,0.0,0.0
1,9141,0,0.0,0.0
1,9141,1,0.0,0.0
1,8810,0,0.0,0.0
1,8810,1,0.0,0.0
1,7420,0,0.0,0.0
1,7420,1,0.0,0.0
1,2752,0,0.0,0.0
1,2752,1,0.0,0.0
1,0101,0,0.0,0.0
1,0101,1,0.0,0.0
1,0940,0,0.0,0.0
1,0940,1,0.0,0.0
1,0565,0,0.0,0.0
1,0565,1,0.0,0.0
1,6230,0,0.0,0.0
1,6230,1,0.0,0.0
1,6410,0,0.0,0.0
1,6410,1,0.0,0.0
1,4655,0,0.0,0.0
1,4655,1,0.0,0.0
1,1360,0,0.0,0.0
1,1360,1,0.0,0.0
1,9122,0,0.0,0.0
1,9122,1,0.0,0.0
1,2145,0,0.0,0.0
1,2145,1,0.0,0.0
1,3630,0,0.0,0.0
1,3630,1,0.0,0.0
1,9720,0,0.0,0.0
1,9720,1,0.0,0.0
1,0052,0,0.0,0.0
1,0052,1,0.0,0.0
1,7260,0,0.0,0.0
1,7260,1,0.0,0.0
1,4621,0,0.0,0.0
1,4621,1,0.0,0.0
1,3740,0,0.0,0.0
1,3740,1,0.0,0.0
1,9030,0,0.0,0.0
1,9030,1,0.0,0.0
1,4810,0,0.0,0.0
1,4810,1,0.0,0.0
1,7315,0,0.0,0.0
1,7315,1,0.0,0.0
1,3550,0,0.0,0.0
1,3550,1,0.0,0.0
1,0310,0,0.0,0.0
1,0310,1,0.0,0.0
1,5550,0,0.0,0.0
1,5550,1,0.0,0.0
1,8320,0,0.0,0.0
1,8320,1,0.0,0.0
1,2710,0,0.0,0.0
1,2710,1,0.0,0.0
1,5810,0,0.0,0.0
1,5810,1,0.0,0.0
1,2006,0,0.0,0.0
1,2006,1,0.0,0.0
1,3310,0,0.0,0.0
1,3310,1,0.0,0.0
1,0510,0,0.0,0.0
1,0510,1,0.0,0.0
1,0410,0,0.0,0.0
1,0410,1,0.0,0.0
1,2330,0,0.0,0.0
1,2330,1,0.0,0.0
1,1555,0,0.0,0.0
1,1555,1,0.0,0.0
1,4965,0,0.0,0.0
1,4965,1,0.0,0.0
1,7410,0,0.0,0.0
1,7410,1,0.0,0.0
1,4540,0,0.0,0.0
1,4540,1,0.0,0.0
1,0150,0,0.0,0.0
1,0150,1,0.0,0.0
1,2320,0,0.0,0.0
1,2320,1,0.0,0.0
1,4030,0,0.0,0.0
1,4030,1,0.0,0.0
1,4055,0,0.0,0.0
1,4055,1,0.0,0.0
1,0820,0,0.0,0.0
1,0820,1,0.0,0.0
1,7140,0,0.0,0.0
1,7140,1,0.0,0.0
1,1320,0,0.0,0.0
1,1320,1,0.0,0.0
1,5300,0,0.0,0.0
1,5300,1,0.0,0.0
1,9510,0,0.0,0.0
1,9510,1,0.0,0.0
1,0735,0,0.0,0.0
1,0735,1,0.0,0.0
1,9005,0,0.0,0.0
1,9005,1,0.0,0.0
1,9050,0,0.0,0.0
1,9050,1,0.0,0.0
1,1760,0,0.0,0.0
1,1760,1,0.0,0.0
1,5110,0,0.0,0.0
1,5110,1,0.0,0.0
1,2635,0,0.0,0.0
1,2635,1,0.0,0.0
1,0630,0,0.0,0.0
1,0630,1,0.0,0.0
1,6710,0,0.0,0.0
1,6710,1,0.0,0.0
1,6442,0,0.0,0.0
1,6442,1,0.0,0.0
1,0205,0,0.0,0.0
1,0205,1,0.0,0.0
1,5521,0,0.0,0.0
1,5521,1,0.0,0.0
1,2850,0,0.0,0.0
1,2850,1,0.0,0.0
1,9600,0,0.0,0.0
1,9600,1,0.0,0.0
1,9840,0,0.0,0.0
1,9840,1,0.0,0.0
1,9240,0,0.0,0.0
1,9240,1,0.0,0.0
1,4010,0,0.0,0.0
1,4010,1,0.0,0.0
1,3655,0,0.0,0.0
1,3655,1,0.0,0.0
1,3725,0,0.0,0.0
1,3725,1,0.0,0.0
1,4435,0,0.0,0.0
1,4435,1,0.0,0.0
1,3110,0,0.0,0.0
1,3110,1,0.0,0.0
1,0160,0,0.0,0.0
1,0160,1,0.0,0.0
1,7840,0,0.0,0.0
1,7840,1,0.0,0.0
1,7540,0,0.0,0.0
1,7540,1,0.0,0.0
1,3605,0,0.0,0.0
1,3605,1,0.0,0.0
1,3646,0,0.0,0.0
1,3646,1,0.0,0.0
1,3545,0,0.0,0.0
1,3545,1,0.0,0.0
1,3258,0,0.0,0.0
1,3258,1,0.0,0.0
1,0137,0,0.0,0.0
1,0137,1,0.0,0.0
1,4140,0,0.0,0.0
1,4140,1,0.0,0.0
1,1460,0,0.0,0.0
1,1460,1,0.0,0.0
1,5820,0,0.0,0.0
1,5820,1,0.0,0.0
1,2825,0,0.0,0.0
1,2825,1,0.0,0.0
1,2830,0,0.0,0.0
1,2830,1,0.0,0.0
1,2002,0,0.0,0.0
1,2002,1,0.0,0.0
1,9121,0,0.0,0.0
1,9121,1,0.0,0.0
1,4930,0,0.0,0.0
1,4930,1,0.0,0.0
1,2440,0,0.0,0.0
1,2440,1,0.0,0.0
1,5940,0,0.0,0.0
1,5940,1,0.0,0.0
1,5710,0,0.0,0.0
1,5710,1,0.0,0.0
1,7320,0,0.0,0.0
1,7320,1,0.0,0.0
1,7130,0,0.0,0.0
1,7130,1,0.0,0.0
1,5522,0,0.0,0.0
1,5522,1,0.0,0.0
1,0051,0,0.0,0.0
1,0051,1,0.0,0.0
1,1065,0,0.0,0.0
1,1065,1,0.0,0.0
1,5140,0,0.0,0.0
1,5140,1,0.0,0.0
1,2014,0,0.0,0.0
1,2014,1,0.0,0.0
1,7720,0,0.0,0.0
1,7720,1,0.0,0.0
1,6240,0,0.0,0.0
1,6240,1,0.0,0.0
1,0360,0,0.0,0.0
1,0360,1,0.0,0.0
1,3245,0,0.0,0.0
1,3245,1,0.0,0.0
1,3256,0,0.0,0.0
1,3256,1,0.0,0.0
1,1910,0,0.0,0.0
1,1910,1,0.0,0.0
1,4522,0,0.0,0.0
1,4522,1,0.0,0.0
1,2001,0,0.0,0.0
1,2001,1,0.0,0.0
1,0520,0,0.0,0.0
1,0520,1,0.0,0.0
1,6330,0,0.0,0.0
1,6330,1,0.0,0.0
1,4740,0,0.0,0.0
1,4740,1,0.0,0.0
1,3648,0,0.0,0.0
1,3648,1,0.0,0.0
1,2004,0,0.0,0.0
1,2004,1,0.0,0.0
1,7430,0,0.0,0.0
1,7430,1,0.0,0.0
1,9150,0,0.0,0.0
1,9150,1,0.0,0.0
