state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
1,2.0,56.0,21639848.0,0.0,0120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,42.0,25869929.0,0.0,4710,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,38.0,27504314.0,0.0,0710,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,51.0,21133559.0,0.0,1410,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,48.0,16733461.0,0.0,3640,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,23.0,26517758.0,0.0,6355,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,39.0,26150082.0,0.0,0440,5.0,217.0,28.0,1.0,1.0,1.0,1,1,1,EMPLOYED
1,2.0,38.0,25837069.0,102803993.0,5120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,34.0,20739961.0,86397471.0,8990,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,37.0,24372908.0,0.0,0220,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,36.0,24142351.0,0.0,4510,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,32.0,27754780.0,110973632.0,1021,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,67.0,19396512.0,79056904.0,1007,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,57.0,23445578.0,0.0,7010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,40.0,34207398.0,0.0,3603,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,59.0,27821419.0,0.0,4521,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,34.0,28342656.0,0.0,1530,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,34.0,27651613.0,0.0,4710,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,51.0,28183305.0,0.0,0110,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,57.0,21115729.0,0.0,0060,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,34.0,20621292.0,85903127.0,3603,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
