state_fips,occ2018,nativity_flag,EMPLOYED,UNEMPLOYED
1,5400,0,17262.3993,0.0
1,5410,0,2794.5115,0.0
1,5510,0,8621.7826,0.0
1,5540,0,2445.4071,0.0
1,5550,0,18246.0991,0.0
1,5610,0,11153.9028,0.0
1,5710,0,1907.1116,0.0
1,5730,0,1810.2122,0.0
1,5740,0,14986.0413,2420.4206
1,5810,0,1903.0605,0.0
1,5840,0,15881.694800000001,0.0
1,5860,0,10113.890800000001,0.0
1,5860,1,2722.4307,0.0
1,5940,0,17881.1007,0.0
1,6005,0,2514.4948,0.0
1,6050,0,3954.6287,0.0
1,6130,0,8989.2274,0.0
1,6200,0,7364.1969,0.0
1,6210,0,4180.2014,0.0
1,6230,1,6562.7137,0.0
1,6260,0,23671.3322,2208.5243
1,6260,1,15151.851799999999,0.0
1,6305,0,2514.5618,0.0
1,6355,0,7215.7029,0.0
1,6410,0,6949.0099,0.0
1,6410,1,6145.192300000001,0.0
1,6441,0,3658.7218,0.0
1,6442,0,8564.4462,0.0
1,6515,0,2135.831,0.0
1,6520,0,3412.258,0.0
1,6600,0,3204.8228,0.0
1,6825,0,2444.0787,0.0
1,7000,0,7943.674800000001,0.0
1,7010,0,2344.5578,0.0
1,7140,0,6310.079299999999,0.0
1,7150,0,2330.8029,0.0
1,7200,0,2853.4402,0.0
1,7210,0,8997.3575,0.0
1,7220,0,2152.8116,0.0
1,7240,0,2426.6222,0.0
1,7315,0,4768.6074,0.0
1,7330,0,14399.1195,0.0
1,7340,0,19580.9412,4159.1578
1,7360,0,2347.4101,0.0
1,7420,0,4762.4403,0.0
1,7640,0,2020.5384,0.0
1,7700,0,8107.9646,0.0
1,7700,1,2091.6828,0.0
1,7720,0,5389.4872,0.0
1,7750,0,24818.0366,3113.4557
1,7800,0,5099.0905,0.0
1,7810,0,5285.8429,0.0
1,7950,0,9493.1346,0.0
1,8030,0,3561.4054,0.0
1,8140,0,13557.2551,0.0
1,8225,0,6112.0796,0.0
1,8255,0,1978.7457,0.0
1,8300,0,2910.3058,0.0
1,8320,0,2141.7198,0.0
1,8620,0,3800.9239,0.0
1,8720,0,2273.9304,0.0
1,8730,0,2514.5618,0.0
1,8740,0,19426.939000000002,0.0
1,8740,1,2079.2634,0.0
1,8810,0,5797.1783,0.0
1,8990,0,31300.0563,0.0
1,9005,0,2483.763,0.0
1,9030,0,8176.8748,0.0
1,9121,0,3089.6094,0.0
1,9122,0,1880.3611,0.0
1,9130,0,70167.825,3681.6904
1,9130,1,2635.7871,0.0
1,9142,0,5080.4331999999995,0.0
1,9150,0,1704.1353,0.0
1,9410,0,3102.7116,0.0
1,9510,0,4135.7876,0.0
1,9570,0,2708.7882,0.0
1,9600,0,11230.8492,3881.4286
1,9610,0,4217.3276,3269.2473
1,9620,0,26013.6644,2525.3604
1,9630,0,5052.6628,0.0
1,9645,0,26105.5364,0.0
1,9760,0,2718.1605,0.0
2,-001,0,0.0,1982.5178
2,0010,0,1867.2122,0.0
2,0020,0,1608.0529999999999,0.0
2,0051,0,1024.2203,0.0
2,0052,0,1224.767,0.0
2,0060,0,788.0154,0.0
2,0101,0,1270.0812999999998,0.0
2,0102,0,3187.3282,0.0
2,0110,0,1866.1756999999998,0.0
2,0110,1,480.2127,0.0
2,0120,0,1578.0569,583.042
2,0140,0,1513.4112,0.0
2,0160,0,2126.6632,0.0
2,0220,0,2680.2145,0.0
2,0230,0,3880.6335,0.0
2,0310,0,1152.3915000000002,0.0
2,0310,1,584.1402,0.0
2,0350,0,1472.3722,0.0
2,0410,0,4659.527700000001,0.0
2,0410,1,659.1964,0.0
2,0420,0,1808.2549,0.0
2,0440,0,14369.7596,1449.1304
2,0440,1,591.1656,0.0
2,0520,0,492.6713,0.0
2,0565,0,875.9909,0.0
2,0630,0,2174.9382,0.0
2,0705,0,2174.1547,0.0
2,0710,0,1308.9148,0.0
2,0735,0,545.9168,0.0
2,0750,0,1217.9926,0.0
2,0800,0,1947.2991,0.0
2,0820,0,626.379,0.0
2,0850,0,669.7394,0.0
2,0910,0,1331.6921,0.0
2,0910,1,1109.6321,0.0
2,1006,0,1133.5038,0.0
2,1021,0,1402.4799,0.0
2,1021,1,766.2942,0.0
2,1050,0,567.7376,0.0
2,1105,0,694.9688,0.0
2,1108,0,1185.451,0.0
2,1240,0,1554.2871,0.0
2,1310,0,761.2215,0.0
2,1360,0,464.4491,0.0
2,1400,0,597.2926,0.0
2,1520,0,592.8592,0.0
2,1530,0,630.928,0.0
2,1610,0,1203.1368,0.0
2,1610,1,661.7666,0.0
2,1650,0,625.476,0.0
2,1750,0,682.8955,0.0
2,1760,0,2761.3052,594.3798
2,1822,0,503.4389,0.0
2,1840,0,581.3682,0.0
2,1910,0,772.9536,0.0
2,1970,0,660.7813,0.0
2,2001,0,1489.8496,0.0
2,2006,0,649.9198,0.0
2,2011,0,464.8898,0.0
2,2012,0,692.1018,0.0
2,2012,1,622.6811,0.0
2,2014,0,685.5237,0.0
2,2015,0,704.8336,0.0
2,2016,0,2449.7048,0.0
2,2025,0,1169.9857,0.0
2,2040,0,1574.7259,0.0
2,2060,0,497.4521,0.0
2,2100,0,2937.0579,0.0
2,2100,1,699.6646,0.0
2,2145,0,1220.9867,0.0
2,2205,0,2531.777,0.0
2,2300,0,1617.2064,0.0
2,2310,0,6721.8436,0.0
2,2330,0,534.3657,0.0
2,2350,0,2257.05,0.0
2,2360,0,2173.577,0.0
2,2360,1,610.9417,0.0
